sentence,target,target_strength,subject,subject_strength,object,object_strength,intent,intent_strength,tense,tense_strength,candidate_ids,correct_id,emotion,formality
写真を撮った。,取った,1.0,彼,0.9,写真,0.7,陳述,0.8,過去,0.6,2001;2002;2003,2002,neutral,neutral
写真を取った。,取った,1.0,彼,0.9,写真,0.7,陳述,0.8,過去,0.6,2001;2002;2003,2002,neutral,neutral
席を取った。,取った,1.0,彼,0.9,席,0.7,陳述,0.8,過去,0.6,2001;2002;2003,2003,neutral,neutral
チケットを取った。,取った,1.0,彼,0.9,チケット,0.7,陳述,0.8,過去,0.6,2001;2002;2003,2003,neutral,neutral
リンゴを取った。,取った,1.0,彼,0.9,リンゴ,0.7,陳述,0.8,過去,0.6,2001;2002;2003,2001,neutral,neutral
荷物を取った。,取った,1.0,彼,0.9,荷物,0.7,陳述,0.8,過去,0.6,2001;2002;2003,2001,neutral,neutral
彼は取った。,取った,1.0,彼,0.9,,0.2,陳述,0.8,過去,0.6,2001;2002;2003,2001,neutral,neutral
今日は疲れた。,疲れた,0.5,彼,0.9,,0.2,感想,0.8,過去,0.6,3001;3002;3003,3001,neutral,neutral
彼が疲れていた。,疲れた,0.5,彼,0.9,,0.2,陳述,0.8,過去,0.6,3001;3002;3003,3001,neutral,neutral
みんな疲れていた。,疲れた,0.5,みんな,0.5,,0.2,陳述,0.8,過去,0.6,3001;3002;3003,3001,neutral,neutral
疲れたなぁ。,疲れた,0.5,不明,0.2,,0.2,感想,0.8,現在,0.6,3001;3002;3003,3002,neutral,neutral
ちょっと休もう。,疲れた,0.5,不明,0.2,,0.2,命令,0.8,現在,0.6,3001;3002;3003,3003,neutral,neutral
よく頑張ったね。,疲れた,0.5,不明,0.2,,0.2,感想,0.8,現在,0.6,3001;3002;3003,3003,neutral,neutral
彼は走った。,走った,0.5,彼,0.9,,0.2,陳述,0.8,過去,0.6,3101;3102;3103,3101,neutral,neutral
走れ！,走った,0.5,不明,0.2,,0.2,命令,0.8,現在,0.6,3101;3102;3103,3102,neutral,casual
もっと走って！,走った,0.5,不明,0.2,,0.2,命令,0.8,現在,0.6,3101;3102;3103,3102,neutral,casual
彼女は走らなかった。,走った,0.5,彼女,0.9,,0.2,否定,0.5,過去,0.6,3101;3102;3103,3103,neutral,polite
昨日は走ったよ。,走った,0.5,彼,0.9,,0.2,陳述,0.8,過去,0.6,3101;3102;3103,3101,neutral,neutral
明日は走ろう。,走った,0.5,不明,0.2,,0.2,願望,0.8,未来,0.5,3101;3102;3103,3103,neutral,neutral
彼は笑った。,笑った,0.5,彼,0.9,,0.2,陳述,0.8,過去,0.6,3201;3202;3203,3201,neutral,neutral
笑わないで。,笑った,0.5,不明,0.2,,0.2,命令,0.8,現在,0.6,3201;3202;3203,3202,neutral,neutral
もっと笑って！,笑った,0.5,不明,0.2,,0.2,命令,0.8,現在,0.6,3201;3202;3203,3203,neutral,casual
赤ちゃんが笑った。,笑った,0.5,赤ちゃん,0.9,,0.2,陳述,0.8,過去,0.6,3201;3202;3203,3201,neutral,neutral
何がおかしいの？,笑った,0.5,彼,0.9,,0.2,質問,0.8,現在,0.6,3201;3202;3203,3203,neutral,polite
食べなよ。,食べた,0.5,不明,0.2,ご飯,0.5,命令,0.8,現在,0.6,3301;3302,3301,neutral,neutral
彼は食べた。,食べた,0.5,彼,0.9,ご飯,0.5,陳述,0.8,過去,0.6,3301;3302,3302,neutral,neutral
まだ食べてない。,食べた,0.5,彼,0.9,ご飯,0.5,否定,0.5,現在,0.6,3301;3302,3302,neutral,neutral
お腹すいた…,食べた,0.5,不明,0.2,ご飯,0.5,願望,0.8,現在,0.6,3301;3302,3301,neutral,neutral
何食べたの？,食べた,0.5,彼,0.9,ご飯,0.5,質問,0.8,過去,0.6,3301;3302,3302,neutral,neutral
寝たくない。,寝た,0.5,不明,0.2,,0.2,否定,0.5,現在,0.6,3401;3402,3401,neutral,neutral
そろそろ寝なよ。,寝た,0.5,不明,0.2,,0.2,命令,0.8,現在,0.6,3401;3402,3402,neutral,neutral
彼は寝た。,寝た,0.5,彼,0.9,,0.2,陳述,0.8,過去,0.6,3401;3402,3401,neutral,neutral
いつ寝たの？,寝た,0.5,彼,0.9,,0.2,質問,0.8,過去,0.6,3401;3402,3401,neutral,neutral
寝ろ！,寝た,0.5,不明,0.2,,0.2,命令,0.8,現在,0.6,3401;3402,3402,neutral,casual
